# Grouping of all relevant ligands found in the BioLiP database as of June 28, 2017
# The 4 nucleic acids entries ("NUCACID_") include: NUCDNA, NUCDNAB, NUCRNA, NUCRNAB
# The 2 DNA entries ("DNA_") include: NUCDNA, NUCDNAB
# The 2 RNA entries ("RNA_") include: NUCRNA, NUCRNAB
# All 204 ion entries ("ION_") were extracted from wwPDB's Chemical Component Dictionary (http://www.wwpdb.org/data/ccd),
#  accessed August 9, 2016
# All 8307 drug entries ("DRUGLIKE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to drug SMILES strings obtained from DrugBank (http://www.drugbank.ca/), accessed August 9, 2016
# All 1301 metabolite entries ("METABOLITE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to *endogenous metabolite* SMILES strings obtained from the Human Metabolome Database
#  (http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip), accessed October 19, 2016
#group_name	original_ligand_mmCIF_identifier
METABOLITE_	3HL
METABOLITE_	3HO
METABOLITE_	3HR
METABOLITE_	3KA
METABOLITE_	3KL
METABOLITE_	3L1
METABOLITE_	3LA
METABOLITE_	3LJ
METABOLITE_	3LR
METABOLITE_	3MD
METABOLITE_	3MG
METABOLITE_	3MU
METABOLITE_	3NF
METABOLITE_	3OC
METABOLITE_	3OH
METABOLITE_	3P8
METABOLITE_	3PA
METABOLITE_	3PE
METABOLITE_	3QZ
METABOLITE_	3WX
METABOLITE_	3X1
METABOLITE_	3XZ
METABOLITE_	3YW
METABOLITE_	3ZO
METABOLITE_	42C
METABOLITE_	42H
METABOLITE_	45A
METABOLITE_	46E
METABOLITE_	47N
METABOLITE_	480
METABOLITE_	48F
METABOLITE_	48Y
METABOLITE_	4AG
METABOLITE_	4AT
METABOLITE_	4DX
METABOLITE_	4GC
METABOLITE_	4HT
METABOLITE_	4IP
METABOLITE_	4LV
METABOLITE_	4MY
METABOLITE_	4N2
METABOLITE_	4OA
METABOLITE_	4OC
METABOLITE_	4OH
METABOLITE_	4OX
METABOLITE_	4RF
METABOLITE_	4U0
METABOLITE_	4UO
METABOLITE_	4WC
METABOLITE_	4YA
METABOLITE_	50T
METABOLITE_	51N
METABOLITE_	56D
METABOLITE_	5AD
METABOLITE_	5AT
METABOLITE_	5CF
METABOLITE_	5D5
METABOLITE_	5FA
METABOLITE_	5FU
METABOLITE_	5FW
METABOLITE_	5GM
METABOLITE_	5GP
METABOLITE_	5GS
METABOLITE_	5HP
METABOLITE_	5HT
METABOLITE_	5IC
METABOLITE_	5IP
METABOLITE_	5JO
METABOLITE_	5KQ
METABOLITE_	5MC
METABOLITE_	5MU
METABOLITE_	5MY
METABOLITE_	5N5
METABOLITE_	5N6
METABOLITE_	5SV
METABOLITE_	5UF
METABOLITE_	62H
METABOLITE_	62W
METABOLITE_	64K
METABOLITE_	66D
METABOLITE_	69O
METABOLITE_	6MD
METABOLITE_	6MZ
METABOLITE_	6NA
METABOLITE_	6NW
METABOLITE_	6O8
METABOLITE_	6OE
METABOLITE_	6PE
METABOLITE_	6PG
METABOLITE_	6PL
METABOLITE_	6R9
METABOLITE_	6SB
METABOLITE_	791
METABOLITE_	7UZ
METABOLITE_	8AN
METABOLITE_	8HG
METABOLITE_	8LR
METABOLITE_	8NA
METABOLITE_	8PE
METABOLITE_	8SP
METABOLITE_	8XA
METABOLITE_	8XC
METABOLITE_	8XG
METABOLITE_	8XU
METABOLITE_	98J
METABOLITE_	9C4
METABOLITE_	9PE
METABOLITE_	9PY
METABOLITE_	A
METABOLITE_	A22
METABOLITE_	A23
METABOLITE_	A2D
METABOLITE_	A2G
METABOLITE_	A2L
METABOLITE_	A2M
METABOLITE_	A2P
METABOLITE_	A39
METABOLITE_	A3A
METABOLITE_	A3P
METABOLITE_	A44
METABOLITE_	A5C
METABOLITE_	A5O
METABOLITE_	A5P
METABOLITE_	AA3
METABOLITE_	AA4
METABOLITE_	AAB
METABOLITE_	AAC
METABOLITE_	AAE
METABOLITE_	AAM
METABOLITE_	AB7
METABOLITE_	ABA
METABOLITE_	ABE
METABOLITE_	ABF
METABOLITE_	ABM
METABOLITE_	ABU
METABOLITE_	ACB
METABOLITE_	ACD
METABOLITE_	ACK
METABOLITE_	ACT
METABOLITE_	ACY
METABOLITE_	AD2
METABOLITE_	ADA
METABOLITE_	ADE
METABOLITE_	ADN
METABOLITE_	ADP
METABOLITE_	AE2
METABOLITE_	AEF
METABOLITE_	AFD
METABOLITE_	AFL
METABOLITE_	AFP
METABOLITE_	AGC
METABOLITE_	AGS
METABOLITE_	AHR
METABOLITE_	AIB
METABOLITE_	AKG
METABOLITE_	AKM
METABOLITE_	ALA
METABOLITE_	ALE
METABOLITE_	ALL
METABOLITE_	ALY
METABOLITE_	AMN
METABOLITE_	AMP
METABOLITE_	AMU
METABOLITE_	AN2
METABOLITE_	AND
METABOLITE_	ANE
METABOLITE_	ANG
METABOLITE_	ANR
METABOLITE_	AOI
METABOLITE_	AOM
METABOLITE_	AON
METABOLITE_	AOS
METABOLITE_	AOX
METABOLITE_	AP5
METABOLITE_	AP7
METABOLITE_	APO
METABOLITE_	APP
METABOLITE_	APR
METABOLITE_	AQP
METABOLITE_	AR3
METABOLITE_	AR6
METABOLITE_	ARA
METABOLITE_	ARB
METABOLITE_	AS1
METABOLITE_	AS2
METABOLITE_	AS4
METABOLITE_	ASA
METABOLITE_	ASD
METABOLITE_	ASI
METABOLITE_	ASJ
METABOLITE_	ASN
METABOLITE_	ASP
METABOLITE_	ASY
METABOLITE_	AT4
METABOLITE_	ATG
METABOLITE_	ATH
